2016-09-29|+|紧急修改|+|交易型理财产品销售系统|+|交易数据维护|+|开发中心处理|+|业务需求不完善|+|1
2016-09-27|+|常规修改|+|监管查控系统|+|交易数据维护|+|运维中心审批|+|新增业务需求|+|1
2016-09-02|+|常规修改|+|代理业务平台|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-09-09|+|常规修改|+|公司网络金融外联系统|+|配置参数维护|+|回顾|+|新增业务需求|+|1
2016-09-26|+|常规修改|+|村镇银行金卡系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-08|+|常规修改|+|(null)|+|交易数据维护|+|业务审批确认|+|历史数据问题|+|1
2016-09-22|+|常规修改|+|CPS系统|+|交易数据维护|+|草稿|+|业务需求不完善|+|1
2016-09-13|+|常规修改|+|销售作业系统|+|配置参数维护|+|草稿|+|历史数据问题|+|1
2016-09-26|+|常规修改|+|新网银系统|+|交易数据维护|+|开发中心处理|+|新增业务需求|+|1
2016-09-14|+|常规修改|+|NPS系统|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-14|+|常规修改|+|RFID库房管理系统|+|交易数据维护|+|数据修改实施|+|业务需求不完善|+|1
2016-09-18|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|1
2016-09-22|+|紧急修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|1
2016-09-12|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|5
2016-09-28|+|常规修改|+|对公贷款系统|+|交易数据维护|+|运维中心审批|+|业务需求不完善|+|3
2016-09-18|+|常规修改|+|计费系统|+|配置参数维护|+|已关闭|+|新增业务需求|+|2
2016-09-29|+|常规修改|+|对公贷款系统|+|交易数据维护|+|草稿|+|程序缺陷|+|1
2016-09-14|+|紧急修改|+|金卡系统|+|交易数据维护|+|已关闭|+|新增业务需求|+|1
2016-09-28|+|常规修改|+|第三方支付系统|+|交易数据维护|+|运维中心审批|+|新增业务需求|+|1
2016-09-22|+|常规修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|4
2016-09-09|+|常规修改|+|(null)|+|交易数据维护|+|草稿|+|(null)|+|5
2016-09-07|+|紧急修改|+|(null)|+|交易数据维护|+|已关闭|+|(null)|+|3
2016-09-30|+|常规修改|+|网络交易平台资金托管系统|+|交易数据维护|+|开发中心处理|+|历史数据问题|+|2
2016-09-12|+|常规修改|+|代理业务平台|+|交易数据维护|+|已关闭|+|历史数据问题|+|1
2016-09-19|+|常规修改|+|代收付系统|+|配置参数维护|+|已关闭|+|程序缺陷|+|1
2016-09-30|+|常规修改|+|新网银系统|+|交易数据维护|+|运维中心处理|+|新增业务需求|+|1
2016-09-07|+|紧急修改|+|保理系统|+|交易数据维护|+|已关闭|+|柜员操作失误|+|1
2016-09-06|+|常规修改|+|代理业务平台|+|交易数据维护|+|已关闭|+|程序缺陷|+|1
2016-09-21|+|常规修改|+|BPP系统|+|交易数据维护|+|回顾|+|新增业务需求|+|1
